number of genes: 16598
number of nodes: 536
Overlap: 485
20, 10, -4.0 - C: 33, E: 29, O: 423
20, 10, -3.0 - C: 41, E: 30, O: 414
20, 10, -2.0 - C: 53, E: 27, O: 405
20, 10, -1.0 - C: 63, E: 24, O: 398
20, 10, 0.0 - C: 67, E: 24, O: 394
20, 10, 1.0 - C: 75, E: 19, O: 391
20, 10, 2.0 - C: 76, E: 19, O: 390
20, 10, 3.0 - C: 74, E: 19, O: 392
20, 10, 4.0 - C: 75, E: 19, O: 391
20, 10, 5.0 - C: 74, E: 18, O: 393
30, 5, -5.0 - C: 35, E: 25, O: 425
30, 5, -4.0 - C: 46, E: 25, O: 414
30, 5, -3.0 - C: 58, E: 25, O: 402
30, 5, -2.0 - C: 68, E: 24, O: 393
30, 5, -1.0 - C: 77, E: 22, O: 386
30, 5, 0.0 - C: 77, E: 21, O: 387
30, 5, 1.0 - C: 87, E: 17, O: 381
30, 5, 2.0 - C: 90, E: 15, O: 380
30, 5, 3.0 - C: 89, E: 16, O: 380
30, 5, 4.0 - C: 95, E: 15, O: 375
30, 5, 5.0 - C: 96, E: 15, O: 374
30, 6, -5.0 - C: 34, E: 25, O: 426
30, 6, -4.0 - C: 45, E: 25, O: 415
30, 6, -3.0 - C: 56, E: 25, O: 404
30, 6, -2.0 - C: 66, E: 24, O: 395
30, 6, -1.0 - C: 75, E: 22, O: 388
30, 6, 0.0 - C: 75, E: 21, O: 389
30, 6, 1.0 - C: 85, E: 17, O: 383
30, 6, 2.0 - C: 89, E: 15, O: 381
30, 6, 3.0 - C: 88, E: 16, O: 381
30, 6, 4.0 - C: 94, E: 15, O: 376
30, 6, 5.0 - C: 96, E: 14, O: 375
30, 7, -5.0 - C: 31, E: 24, O: 430
30, 7, -4.0 - C: 42, E: 24, O: 419
30, 7, -3.0 - C: 52, E: 25, O: 408
30, 7, -2.0 - C: 65, E: 24, O: 396
30, 7, -1.0 - C: 73, E: 22, O: 390
30, 7, 0.0 - C: 74, E: 21, O: 390
30, 7, 1.0 - C: 84, E: 17, O: 384
30, 7, 2.0 - C: 88, E: 15, O: 382
30, 7, 3.0 - C: 86, E: 16, O: 383
30, 7, 4.0 - C: 89, E: 15, O: 381
30, 7, 5.0 - C: 89, E: 13, O: 383
30, 8, -5.0 - C: 28, E: 24, O: 433
30, 8, -4.0 - C: 39, E: 23, O: 423
30, 8, -3.0 - C: 49, E: 24, O: 412
30, 8, -2.0 - C: 61, E: 23, O: 401
30, 8, -1.0 - C: 70, E: 22, O: 393
30, 8, 0.0 - C: 72, E: 21, O: 392
30, 8, 1.0 - C: 82, E: 17, O: 386
30, 8, 2.0 - C: 86, E: 15, O: 384
30, 8, 3.0 - C: 84, E: 15, O: 386
30, 8, 4.0 - C: 86, E: 14, O: 385
30, 8, 5.0 - C: 85, E: 12, O: 388
30, 9, -5.0 - C: 25, E: 24, O: 436
30, 9, -4.0 - C: 36, E: 23, O: 426
30, 9, -3.0 - C: 46, E: 24, O: 415
30, 9, -2.0 - C: 58, E: 23, O: 404
30, 9, -1.0 - C: 68, E: 22, O: 395
30, 9, 0.0 - C: 72, E: 21, O: 392
30, 9, 1.0 - C: 82, E: 16, O: 387
30, 9, 2.0 - C: 84, E: 15, O: 386
30, 9, 3.0 - C: 82, E: 15, O: 388
30, 9, 4.0 - C: 84, E: 14, O: 387
30, 9, 5.0 - C: 83, E: 12, O: 390
30, 10, -5.0 - C: 24, E: 21, O: 440
30, 10, -4.0 - C: 33, E: 21, O: 431
30, 10, -3.0 - C: 41, E: 22, O: 422
30, 10, -2.0 - C: 53, E: 21, O: 411
30, 10, -1.0 - C: 63, E: 20, O: 402
30, 10, 0.0 - C: 67, E: 19, O: 399
30, 10, 1.0 - C: 75, E: 13, O: 397
30, 10, 2.0 - C: 76, E: 14, O: 395
30, 10, 3.0 - C: 74, E: 15, O: 396
30, 10, 4.0 - C: 75, E: 14, O: 396
30, 10, 5.0 - C: 74, E: 12, O: 399
40, 5, -5.0 - C: 35, E: 22, O: 428
40, 5, -4.0 - C: 46, E: 21, O: 418
40, 5, -3.0 - C: 58, E: 20, O: 407
40, 5, -2.0 - C: 68, E: 19, O: 398
40, 5, -1.0 - C: 77, E: 17, O: 391
40, 5, 0.0 - C: 77, E: 18, O: 390
40, 5, 1.0 - C: 87, E: 15, O: 383
40, 5, 2.0 - C: 90, E: 14, O: 381
40, 5, 3.0 - C: 89, E: 16, O: 380
40, 5, 4.0 - C: 95, E: 15, O: 375
40, 5, 5.0 - C: 96, E: 13, O: 376
40, 6, -5.0 - C: 34, E: 22, O: 429
