TACR3
RPP14
NEGR1
F13B
KRTAP19-7
SVIP
KRTAP19-6
HNF4G
PRMT6
PRMT6
SLC17A6
MSR1
MSR1
TYW3
MSR1
CRYZ
PXK
KRTAP19-5
VWC2
MIR4458HG
METTL25
KRTAP6-2
CNOT10
KRTAP13-4
CCDC179
KRTAP22-1
CHODL
DIS3L
KRTAP15-1
ZRANB2
ZRANB2
CHMP4B
KRTAP19-2
PPP2R5A
CDA
PINK1
ADC
MIR186
NDRG3
NDRG3
ABHD6
FOXP2
FOXP2
OR2W3
SLC44A3
FBXO34
ANKRD20A11P
ANKRD20A11P
INPP4B
INPP4B
INPP4B
EFR3B
EFR3B
EFR3B
CFHR5
AAGAB
CCL27
PPP6C
PPIEL
OPRK1
RABEPK
KCNIP2
MKL1
ASPM
PRAC1
PRAC1
PRAC2
HOXB13
KCNIP2
KRTAP20-1
OR2L13
TIPIN
IL15
IL15
IL15
TMPRSS15
TMPRSS15
MRPL51
VAMP1
VAMP1
VAMP1
NCAPD2
NAP1L2
IL11RA
IL11RA
LRRK2
LRRK2
KRTAP27-1
CTNNA3
CTNNA3
OIP5
OIP5
C5orf51
C5orf51
OXCT1
NDST4
GPR63
GPR63
RP4-639F20.1
SCARNA14
ZNF804A
BCAR3
BCAR3
BCAR3
BCAR3
CDH12
LRRIQ3
PDHB
FSTL5
TAPBPL
SPATS1
TRIM58
DENND4A
DENND4A
DENND4A
SERTAD2
SERTAD2
GAS2
GAS2
TCEAL6
SCARNA10
BEX5
HESX1
GALT
GALT
GALT
FANCF
INPP5F
INPP5F
AK2
KRTAP20-3
WNT8A
WNT8A
FBXO4
FBXO4
FBXO4
UFL1
DDOST
UBAP2
TRIM71
TRIM71
TRIM71
DNTTIP2
MGEA5
NUSAP1
NUSAP1
DLK2
DLK2
DLK2
DLK2
DLK2
MED10
C16orf70
PCDH9
PCDH9
PCDH9
LINC01098
PPP6R3
TNFSF13B
TNFSF13B
APPL1
OR2M4
OR5R1
FAM174A
FAM174A
TCEAL2
PPP3CC
AARS2
SLMAP
PABPC4L
TJAP1
GCLM
GCLM
SAR1A
BAI3
OR14A16
HVCN1
HVCN1
AK2
FPGT
TYSND1
TYSND1
TYSND1
FAM117B
FAM117B
LMO3
LMO3
LMO3
ATHL1
REG1B
SHMT1
SLC1A4
RP11-138B4.1
KLHL1
ITGA10
PIK3R3
IGFBP4
MC4R
SRR
ANKRD11
TMED5
OR2L1P
C1orf173
CMTM7
CMTM7
CMTM7
WDR12
WDR12
ARRDC4
ARRDC4
IRX1
CARF
FSIP2
FSIP2
CNTN5
AFTPH
AFTPH
AFTPH
GALNT5
CD27-AS1
TNNI3K
LRRTM3
LRRTM3
MIR383
PEX11B
SLC24A1
CA12
CA12
GPC2
GARNL3
WHSC1L1
